time,Open,High,Low,Close
2018.11.07 08-42-35,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-42-40,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-42-45,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-42-50,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-42-55,6519.0,6519.5,6519.5,6519.0
2018.11.07 08-43-00,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-05,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-43-10,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-43-15,6519.5,6519.0,6519.0,6519.0
2018.11.07 08-43-20,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-30,6519.0,6519.5,6519.5,6519.0
2018.11.07 08-43-35,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-40,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-45,6519.5,6519.0,6519.0,6519.0
2018.11.07 08-43-50,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-55,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-44-00,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-44-05,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-10,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-15,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-20,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-44-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-30,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-44-35,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-44-40,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-45,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-50,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-55,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-45-00,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-45-05,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-45-10,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-15,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-20,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-30,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-35,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-40,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-45,6519.0,6519.0,6518.5,6518.5
2018.11.07 08-45-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-45-55,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-00,6518.5,6518.5,6518.5,6518.5
